Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bermuda,3702116,4602041,4536599,3397458,4144932,4897471,4724748,3898540,5309900,5042612,4986125,6007504,53305392,4508453,4149512
Bhutan,0,7345,20803,2380,0,50857,2282,92575,71988,89047,84235,92364,103001,79471,640331
Bolivia,823242,282381,2097310,186646,667789,1221932,2456427,3175392,2255837,1469666,775264,1346172,678454,1820710,437340
Bosnia-Herzegovina,106541,299619,78733,182885,11331,1721,0,5329,1281675,786098,710681,0,2744,0,40071
Botswana,101636,35764,43905,12009,46677,16955,33256,209040,144242,166420,103908,69961,81638,240848,167765
Brazil,75282528,73733490,77494181,33037941,33775137,87677172,114848615,42708101,89840053,64756528,53924370,56533421,81144705,202455022,160770863
British Indian Ocean Territory,0,0,0,0,0,0,173757,0,0,0,0,0,0,0,0
Brunei Darussalam,3256523,3146485,3331288,2541149,3554976,3287943,99543313,2975567,3860583,4242310,3618759,5176594,5824362,6978601,6352234
Bulgaria,1510484,470301,443101,731673,1503083,5183655,7690733,4206578,6311380,7360133,3623984,5634922,7565833,6258312,7729648
Burkina Faso,0,0,1500,19293,11079,11501,517739,80813,38620,58835,571251,328360,763799,1642536,2391314
Burundi,0,54058,3982,67484,174777,1006054,70343,46370,19495,12353,183093,10227,49109,7698,5029
Cambodia,1870853,3148186,750710,723702,753904,1846834,947467,1761273,3743870,3605827,5379025,5606618,5214662,5922143,5614863
Cameroon,585838,75828,787295,195911,305707,3266776,3991475,6043561,8688811,7490537,7821108,15176949,20795083,24782302,29727651
Canada,439602542,631433611,648466791,547696456,521042695,523617118,553340400,537472507,511442361,501117913,497132065,597372065,565100513,526810688,581020071
Cabo Verde,0,0,0,2093,30774,10149,46017,2242,616596,2370,0,0,0,3010,1447
Cayman Islands,230630,142325,33711764,18383486,16555534,33543878,20482359,755116,879851,22886606,640589,2052961,609232,609902,610620
Central African Republic,105697,0,0,0,0,0,0,31190,27523,0,0,0,0,176098,220907
Chad,0,0,0,193080,4098,2825,0,0,139703,112579,208620,107041,1194,269333,1909129
Chile,76709928,50017557,33481379,31400149,52448236,52907633,57492647,53598119,89412621,57708069,60535060,62157272,76611058,149510462,144929345
China People's Republic of,929617550,1349348690,1430066070,1376350771,1745444656,1565535796,1874902410,1953348762,2533577182,3627531336,4826150473,5887026892,6859465012,9965232711,9986191899
Christmas Island,0,0,0,0,0,0,0,6432,0,0,0,7231303,184256,0,16311
Cocos (Keeling) Islands,0,0,0,0,0,3400,0,0,0,0,0,0,0,0,176403
Colombia,4808708,32998589,9184421,4292410,5412500,4098839,7669220,9196012,9021522,6899079,11555365,12625731,13293387,13193729,16420142
