Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,269953,0,0,0,0,0
United States of America,4241743568,4850620663,4760572749,4118810335,4435835933,4372552533,4540425195,4211346431,4382024587,3953369875,3759346055,3997091227,4231325130,4071400211,4704332491
Uruguay,14439047,7371443,6237011,7729749,7205055,4345396,5090485,9526459,13608105,7525424,8950226,15579010,14529485,15208971,15211388
Uzbekistan,4612,257294,375981,553804,13866,9434,3989111,4233824,5672396,8012632,5080967,7537702,9045972,5750863,5635156
Vanuatu,17275360,25279552,26346706,20145145,22934214,24974989,33116760,42883031,41715405,45360118,43517729,37005632,39001464,36847353,34993753
Vatican City State,0,0,0,0,0,4506,0,2507,602523,44435,217556,1272,0,0,44817
Venezuela,136814102,266476826,94892270,129165162,115598714,123538348,177663653,359498690,653797820,362122707,463424867,485803120,459060745,405782597,115620613
Viet Nam,169010629,371155272,129064296,158311956,138934349,152770830,247514450,362372294,282749056,314603105,419920625,424723820,451457306,481399471,548103678
Virgin Islands British,7464,403780,12063167,151346,26189,11127,35793,21827843,87017567,36643,48061178,59228,38323,895257,56874648
Virgin Islands United States,554163,26459,6350,126158,51328,87578,185549,6202,746997,35364,27830,75496,52108,6622,101810
Wallis and Futuna,5972557,6183104,6836151,6657655,6867616,4749829,5240231,5760768,11297656,5472003,11210599,6462634,5807455,3460516,2881482
Western Sahara,0,0,0,0,0,0,8766,1619,0,0,0,0,0,0,0
Yemen,16326263,19131557,22351464,15349791,28125911,18366694,28841944,42420884,22923938,47770886,54333010,41411869,40102062,59325675,83083546
Serbia,402821,1192556,185414,163312,350006,267187,805365,354277,0,0,0,0,0,0,0
Zambia,34817,169589,263947,265978,277645,1895879,677848,1248247,1270375,608121,1251288,1488378,126941,661181,2037877
Zimbabwe,958040,950959,911339,602581,282271,2206308,234672,314025,92546,468363,2023060,3839514,1817335,3012328,5600088
